winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
blue,8190.0,27.3,7.0,27.0,201.0,65.0,
green,10342.0,34.473333333333336,237.0,,38.0,17.0,8.0
yellow,9550.0,31.833333333333336,111.0,2.0,,12.0,175.0
red,7883.0,26.276666666666664,,285.0,14.0,1.0,
blue,4451.0,14.836666666666668,,35.0,247.0,4.0,14.0
purple,5795.0,19.316666666666666,,,17.0,283.0,
blue,9265.0,30.883333333333336,1.0,114.0,127.0,54.0,4.0
green,9910.0,33.03333333333333,177.0,5.0,28.0,,90.0
blue,8028.0,26.76,,,289.0,11.0,
purple,2859.0,9.53,,15.0,,285.0,
purple,7981.0,26.603333333333335,,,131.0,134.0,35.0
red,11127.0,37.09,29.0,175.0,,96.0,
red,6786.0,22.62,32.0,132.0,,40.0,96.0
blue,11706.0,39.019999999999996,66.0,8.0,101.0,50.0,75.0
green,9343.0,31.143333333333334,172.0,1.0,22.0,57.0,48.0
green,9199.0,30.66333333333333,298.0,1.0,,,1.0
yellow,6433.0,21.443333333333335,,5.0,52.0,,243.0
blue,1321.0,4.403333333333333,,2.0,296.0,,2.0
yellow,7929.0,26.43,85.0,34.0,,,181.0
blue,9548.0,31.826666666666664,,,149.0,15.0,136.0
yellow,6832.0,22.773333333333333,,,6.0,4.0,290.0
red,9663.0,32.21,2.0,237.0,43.0,18.0,
purple,9021.0,30.070000000000004,85.0,,,205.0,10.0
purple,9353.0,31.17666666666667,,103.0,,197.0,
blue,8740.0,29.133333333333333,,3.0,114.0,74.0,109.0
purple,3946.0,13.153333333333334,,,5.0,242.0,53.0
blue,10121.0,33.736666666666665,96.0,,189.0,3.0,12.0
yellow,3078.0,10.26,,,,,300.0
yellow,7437.0,24.79,30.0,112.0,,,158.0
blue,14501.0,48.336666666666666,51.0,8.0,241.0,,
yellow,1485.0,4.95,1.0,,,14.0,285.0
yellow,2877.0,9.59,,,4.0,,296.0
yellow,8641.0,28.80333333333333,10.0,1.0,,130.0,159.0
green,7251.0,24.169999999999998,266.0,6.0,13.0,,15.0
blue,5237.0,17.456666666666667,,,265.0,32.0,3.0
green,9089.0,30.296666666666667,291.0,5.0,,,4.0
blue,7993.0,26.643333333333334,77.0,32.0,181.0,10.0,
green,7377.0,24.59,217.0,,6.0,77.0,
green,7179.0,23.93,132.0,130.0,3.0,19.0,16.0
green,5857.0,19.523333333333333,269.0,,5.0,25.0,1.0
blue,7359.0,24.529999999999998,47.0,1.0,251.0,,1.0
red,7850.0,26.166666666666664,,299.0,,1.0,
green,8773.0,29.243333333333332,235.0,21.0,34.0,2.0,8.0
red,7140.0,23.799999999999997,,299.0,,1.0,
red,9465.0,31.55,60.0,145.0,65.0,30.0,
green,1487.0,4.956666666666667,293.0,,1.0,2.0,4.0
blue,5742.0,19.139999999999997,,46.0,224.0,29.0,1.0
red,9215.0,30.716666666666665,,244.0,52.0,4.0,
yellow,10660.0,35.53333333333333,14.0,7.0,70.0,72.0,137.0
yellow,9451.0,31.503333333333334,24.0,13.0,1.0,,262.0
purple,8526.0,28.42,132.0,3.0,,165.0,
purple,5705.0,19.01666666666667,83.0,,3.0,185.0,29.0
blue,6712.0,22.373333333333335,133.0,,134.0,,33.0
red,9182.0,30.606666666666666,5.0,206.0,52.0,36.0,1.0
red,8380.0,27.933333333333334,,272.0,,,28.0
red,9768.0,32.56,5.0,273.0,,,22.0
blue,7769.0,25.89666666666667,10.0,68.0,185.0,37.0,
red,6769.0,22.563333333333333,17.0,234.0,,6.0,43.0
blue,8361.0,27.87,24.0,9.0,177.0,52.0,38.0
purple,13035.0,43.45,38.0,27.0,101.0,133.0,1.0
purple,7820.0,26.066666666666666,,32.0,2.0,264.0,2.0
blue,8709.0,29.03,,,298.0,2.0,
red,7572.0,25.240000000000002,80.0,216.0,4.0,,
blue,4816.0,16.053333333333335,52.0,6.0,240.0,,2.0
green,3960.0,13.200000000000001,265.0,,7.0,,28.0
green,9532.0,31.77333333333333,143.0,,92.0,1.0,64.0
red,8968.0,29.893333333333334,13.0,229.0,,57.0,1.0
purple,7966.0,26.553333333333335,1.0,,109.0,185.0,5.0
blue,7846.0,26.153333333333332,,19.0,213.0,,68.0
purple,7974.0,26.58,,21.0,,213.0,66.0
yellow,9606.0,32.019999999999996,,8.0,98.0,,194.0
yellow,8511.0,28.37,28.0,1.0,,2.0,269.0
red,10430.0,34.766666666666666,2.0,164.0,3.0,,131.0
red,7105.0,23.683333333333334,,150.0,,110.0,40.0
blue,6703.0,22.343333333333334,2.0,14.0,275.0,2.0,7.0
green,7128.0,23.76,229.0,1.0,26.0,44.0,
blue,6043.0,20.14333333333333,,,277.0,,23.0
green,10460.0,34.86666666666667,200.0,1.0,,51.0,48.0
green,7780.0,25.933333333333337,154.0,,,37.0,109.0
red,8849.0,29.496666666666666,,255.0,,45.0,
yellow,5509.0,18.363333333333333,,,2.0,,298.0
blue,7978.0,26.593333333333334,25.0,,259.0,8.0,8.0
purple,6413.0,21.376666666666665,,1.0,86.0,213.0,
blue,8189.0,27.29666666666667,81.0,15.0,204.0,,
blue,8937.0,29.79,,105.0,108.0,87.0,
blue,3924.0,13.08,,1.0,298.0,,1.0
purple,11338.0,37.79333333333334,,124.0,,157.0,19.0
green,7491.0,24.97,240.0,,43.0,,17.0
purple,7890.0,26.3,82.0,41.0,,173.0,4.0
red,10182.0,33.94,49.0,227.0,2.0,,22.0
yellow,7860.0,26.200000000000003,,13.0,,11.0,276.0
purple,11042.0,36.806666666666665,42.0,60.0,,192.0,6.0
green,8445.0,28.15,126.0,17.0,118.0,,39.0
purple,11060.0,36.86666666666667,4.0,1.0,,190.0,105.0
red,10292.0,34.30666666666667,114.0,161.0,25.0,,
red,1340.0,4.466666666666667,,298.0,,2.0,
red,9352.0,31.173333333333332,1.0,213.0,73.0,10.0,3.0
blue,9037.0,30.123333333333335,20.0,118.0,154.0,3.0,5.0
green,11622.0,38.74,265.0,4.0,4.0,24.0,3.0
green,6639.0,22.13,169.0,3.0,,,128.0
green,5219.0,17.396666666666665,231.0,69.0,,,
purple,7936.0,26.453333333333333,,22.0,2.0,166.0,110.0
green,6604.0,22.013333333333332,185.0,,103.0,7.0,5.0
green,9718.0,32.39333333333334,147.0,116.0,,35.0,2.0
blue,11724.0,39.08,54.0,1.0,141.0,43.0,61.0
red,1984.0,6.613333333333333,,274.0,,26.0,
green,4720.0,15.733333333333333,206.0,18.0,75.0,1.0,
blue,9247.0,30.823333333333338,2.0,75.0,196.0,26.0,1.0
purple,7844.0,26.14666666666667,,121.0,,179.0,
green,10797.0,35.99,95.0,67.0,54.0,33.0,51.0
red,7584.0,25.28,48.0,216.0,6.0,,30.0
yellow,10062.0,33.54,,6.0,,,294.0
green,11408.0,38.026666666666664,113.0,11.0,58.0,38.0,80.0
purple,6420.0,21.4,,95.0,81.0,124.0,
blue,9379.0,31.263333333333332,,,200.0,93.0,7.0
red,10987.0,36.623333333333335,,179.0,43.0,,78.0
blue,8783.0,29.276666666666667,,13.0,274.0,12.0,1.0
yellow,4767.0,15.89,,12.0,5.0,,283.0
green,2747.0,9.156666666666666,300.0,,,,
green,5452.0,18.173333333333332,272.0,6.0,,7.0,15.0
blue,8981.0,29.936666666666667,118.0,,167.0,2.0,13.0
purple,9494.0,31.64666666666667,,38.0,32.0,230.0,
purple,9315.0,31.05,10.0,13.0,18.0,131.0,128.0
green,5886.0,19.62,299.0,,,,1.0
red,8517.0,28.389999999999997,38.0,234.0,28.0,,
red,9841.0,32.803333333333335,24.0,168.0,21.0,87.0,
green,9795.0,32.65,262.0,,22.0,16.0,
green,6367.0,21.223333333333333,170.0,,11.0,20.0,99.0
red,6067.0,20.223333333333333,,216.0,1.0,83.0,
blue,7973.0,26.576666666666664,5.0,75.0,152.0,,68.0
red,8900.0,29.666666666666668,10.0,256.0,,,34.0
red,7827.0,26.090000000000003,17.0,249.0,23.0,,11.0
blue,10623.0,35.410000000000004,,80.0,156.0,1.0,63.0
purple,1371.0,4.569999999999999,,,,300.0,
blue,4329.0,14.430000000000001,41.0,,256.0,,3.0
green,9485.0,31.616666666666664,280.0,6.0,,1.0,13.0
purple,9103.0,30.343333333333334,57.0,88.0,24.0,130.0,1.0
yellow,10664.0,35.54666666666667,,40.0,,,260.0
purple,7010.0,23.366666666666667,,31.0,44.0,221.0,4.0
purple,1750.0,5.833333333333333,,,,300.0,
yellow,9928.0,33.093333333333334,,5.0,7.0,41.0,247.0
yellow,7655.0,25.516666666666666,145.0,,,,155.0
red,6155.0,20.516666666666666,,272.0,28.0,,
green,11547.0,38.49,297.0,,1.0,2.0,
yellow,4394.0,14.646666666666667,64.0,11.0,,,225.0
purple,6277.0,20.923333333333332,,,2.0,298.0,
blue,10352.0,34.50666666666667,,16.0,225.0,59.0,
green,6852.0,22.84,300.0,,,,
green,7717.0,25.723333333333333,206.0,3.0,2.0,50.0,39.0
yellow,9870.0,32.9,,3.0,132.0,2.0,163.0
blue,8201.0,27.336666666666666,62.0,,226.0,12.0,
green,8465.0,28.21666666666667,297.0,1.0,1.0,,1.0
purple,8789.0,29.296666666666667,,3.0,1.0,194.0,102.0
yellow,9702.0,32.34,61.0,,1.0,81.0,157.0
yellow,11892.0,39.64,1.0,14.0,76.0,2.0,207.0
yellow,10043.0,33.47666666666667,,7.0,107.0,73.0,113.0
red,7737.0,25.790000000000003,9.0,238.0,52.0,1.0,
yellow,5256.0,17.52,,,13.0,,287.0
red,7444.0,24.813333333333336,54.0,157.0,,54.0,35.0
blue,8671.0,28.903333333333332,131.0,,169.0,,
red,10934.0,36.446666666666665,18.0,250.0,4.0,25.0,3.0
red,6783.0,22.61,,233.0,,67.0,
blue,8061.0,26.87,,,287.0,10.0,3.0
yellow,9201.0,30.669999999999998,98.0,,12.0,67.0,123.0
purple,7252.0,24.173333333333332,47.0,6.0,7.0,190.0,50.0
yellow,5437.0,18.12333333333333,,10.0,,10.0,280.0
yellow,10404.0,34.68,2.0,,13.0,54.0,231.0
yellow,6587.0,21.956666666666667,,,1.0,25.0,274.0
red,8469.0,28.23,114.0,155.0,21.0,10.0,
red,8912.0,29.706666666666663,2.0,202.0,,,96.0
red,9196.0,30.653333333333332,20.0,277.0,,1.0,2.0
blue,6855.0,22.85,1.0,2.0,276.0,21.0,
red,9645.0,32.15,33.0,188.0,12.0,10.0,57.0
yellow,8769.0,29.23,3.0,5.0,135.0,2.0,155.0
purple,8093.0,26.976666666666667,,1.0,27.0,150.0,122.0
red,7782.0,25.94,44.0,256.0,,,
blue,2332.0,7.773333333333333,,17.0,283.0,,
red,7242.0,24.14,6.0,189.0,1.0,104.0,
yellow,8681.0,28.936666666666667,1.0,,45.0,,254.0
green,11784.0,39.28,283.0,1.0,1.0,11.0,4.0
purple,8275.0,27.583333333333332,,8.0,,247.0,45.0
blue,7442.0,24.806666666666665,,,288.0,,12.0
green,9159.0,30.53,124.0,113.0,,,63.0
purple,6895.0,22.983333333333334,,41.0,,259.0,
blue,10838.0,36.126666666666665,57.0,3.0,144.0,66.0,30.0
blue,10804.0,36.013333333333335,4.0,3.0,186.0,102.0,5.0
purple,8365.0,27.883333333333333,,69.0,4.0,221.0,6.0
blue,10546.0,35.15333333333333,,61.0,206.0,33.0,
red,9001.0,30.00333333333333,51.0,144.0,91.0,,14.0
purple,8578.0,28.59333333333333,4.0,,1.0,291.0,4.0
yellow,9401.0,31.33666666666667,41.0,,4.0,67.0,188.0
purple,12288.0,40.96,9.0,4.0,84.0,114.0,89.0
blue,9823.0,32.74333333333333,41.0,5.0,172.0,69.0,13.0
purple,9389.0,31.296666666666667,,60.0,5.0,209.0,26.0
blue,10715.0,35.71666666666667,23.0,1.0,193.0,81.0,2.0
green,9648.0,32.16,252.0,11.0,32.0,,5.0
blue,10240.0,34.13333333333333,,1.0,226.0,21.0,52.0
purple,10021.0,33.403333333333336,,106.0,1.0,189.0,4.0
