winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
red,8663.0,28.87666666666667,,169.0,,105.0,26.0
red,4662.0,15.540000000000001,,300.0,,,
yellow,8044.0,26.813333333333333,,,,91.0,209.0
red,8342.0,27.80666666666667,7.0,242.0,,51.0,
red,6917.0,23.05666666666667,15.0,285.0,,,
yellow,4884.0,16.28,,15.0,,,285.0
red,3857.0,12.856666666666666,,299.0,,1.0,
green,7974.0,26.58,296.0,,,4.0,
yellow,7572.0,25.240000000000002,1.0,,78.0,1.0,220.0
blue,2898.0,9.66,,,296.0,,4.0
blue,2260.0,7.533333333333333,,,300.0,,
red,5617.0,18.723333333333333,,182.0,,,118.0
yellow,8383.0,27.94333333333333,,,4.0,122.0,174.0
blue,5585.0,18.616666666666667,,91.0,208.0,,1.0
red,6015.0,20.05,,277.0,,23.0,
purple,6284.0,20.946666666666665,,,9.0,291.0,
red,7778.0,25.926666666666666,,169.0,,130.0,1.0
yellow,4818.0,16.06,,,3.0,1.0,296.0
green,8555.0,28.51666666666667,170.0,19.0,,83.0,28.0
red,6759.0,22.53,,277.0,7.0,,16.0
purple,6806.0,22.686666666666667,89.0,,,211.0,
red,7632.0,25.44,41.0,247.0,,,12.0
red,3397.0,11.323333333333334,,300.0,,,
yellow,1933.0,6.4433333333333325,,,,,300.0
blue,8985.0,29.95,1.0,137.0,161.0,,1.0
red,3554.0,11.846666666666666,,300.0,,,
red,7148.0,23.826666666666664,4.0,290.0,,,6.0
yellow,6746.0,22.486666666666665,,13.0,,1.0,286.0
red,6184.0,20.613333333333333,,300.0,,,
green,4782.0,15.939999999999998,208.0,,,53.0,39.0
purple,5684.0,18.946666666666665,,,1.0,299.0,
purple,10414.0,34.71333333333334,25.0,24.0,,245.0,6.0
blue,6407.0,21.356666666666666,,,169.0,,131.0
red,8662.0,28.873333333333335,102.0,109.0,88.0,,1.0
yellow,5736.0,19.12,,,28.0,,272.0
green,7684.0,25.613333333333333,271.0,2.0,27.0,,
blue,7242.0,24.14,,,295.0,,5.0
yellow,7405.0,24.683333333333334,,,,36.0,264.0
blue,9331.0,31.10333333333333,,1.0,256.0,,43.0
yellow,4341.0,14.469999999999999,,,1.0,,299.0
blue,6179.0,20.596666666666668,,,254.0,46.0,
yellow,7890.0,26.3,1.0,76.0,,,223.0
red,7962.0,26.540000000000003,,255.0,,,45.0
purple,8924.0,29.746666666666666,47.0,2.0,,165.0,86.0
green,4458.0,14.860000000000001,297.0,,,3.0,
green,5524.0,18.413333333333334,298.0,,1.0,1.0,
blue,10173.0,33.910000000000004,128.0,,170.0,1.0,1.0
purple,6435.0,21.45,,,1.0,299.0,
red,8207.0,27.35666666666667,,146.0,96.0,,58.0
purple,8375.0,27.916666666666668,,9.0,1.0,162.0,128.0
red,5272.0,17.573333333333334,10.0,271.0,19.0,,
purple,9588.0,31.96,,67.0,56.0,176.0,1.0
green,6378.0,21.26,275.0,1.0,,3.0,21.0
purple,6886.0,22.953333333333333,,,13.0,273.0,14.0
green,4979.0,16.596666666666668,296.0,,4.0,,
red,8094.0,26.979999999999997,34.0,203.0,,63.0,
red,2468.0,8.226666666666667,,300.0,,,
blue,9259.0,30.86333333333333,,19.0,211.0,31.0,39.0
red,9761.0,32.53666666666667,16.0,262.0,21.0,1.0,
red,976.0,3.253333333333333,,300.0,,,
yellow,2245.0,7.483333333333333,,,,,300.0
purple,5922.0,19.74,1.0,,,296.0,3.0
blue,4889.0,16.296666666666667,146.0,,154.0,,
red,7742.0,25.806666666666665,,255.0,32.0,13.0,
purple,7087.0,23.62333333333333,,53.0,24.0,223.0,
blue,6167.0,20.55666666666667,99.0,1.0,193.0,,7.0
red,8222.0,27.406666666666666,1.0,224.0,,75.0,
purple,10661.0,35.53666666666667,41.0,9.0,86.0,113.0,51.0
red,6757.0,22.523333333333333,,230.0,3.0,67.0,
yellow,2700.0,9.0,,,,,300.0
blue,7130.0,23.766666666666666,,,252.0,41.0,7.0
yellow,6460.0,21.53333333333333,,,11.0,126.0,163.0
red,7463.0,24.876666666666665,,298.0,2.0,,
purple,7977.0,26.590000000000003,43.0,3.0,19.0,235.0,
yellow,7977.0,26.590000000000003,1.0,93.0,29.0,,177.0
blue,7662.0,25.540000000000003,2.0,93.0,205.0,,
red,7762.0,25.87333333333333,,209.0,,,91.0
blue,5197.0,17.32333333333333,,,300.0,,
red,7545.0,25.15,4.0,257.0,,38.0,1.0
purple,3786.0,12.620000000000001,,2.0,,298.0,
yellow,6941.0,23.136666666666667,67.0,,,2.0,231.0
green,6090.0,20.3,155.0,2.0,,,143.0
blue,5837.0,19.456666666666667,,21.0,279.0,,
purple,8286.0,27.62,110.0,2.0,22.0,160.0,6.0
blue,6085.0,20.283333333333335,,,292.0,,8.0
green,7358.0,24.526666666666667,195.0,,91.0,7.0,7.0
blue,7559.0,25.196666666666665,,4.0,251.0,4.0,41.0
yellow,9553.0,31.843333333333334,90.0,,15.0,,195.0
red,8925.0,29.75,17.0,173.0,,,110.0
yellow,8117.0,27.05666666666667,27.0,,2.0,29.0,242.0
red,6772.0,22.573333333333334,,275.0,5.0,20.0,
purple,6856.0,22.853333333333335,,12.0,,284.0,4.0
blue,5893.0,19.64333333333333,,,298.0,2.0,
blue,5340.0,17.8,,,263.0,1.0,36.0
blue,3790.0,12.633333333333333,23.0,1.0,276.0,,
green,7768.0,25.893333333333334,299.0,,,1.0,
purple,8671.0,28.903333333333332,,1.0,31.0,248.0,20.0
blue,10166.0,33.88666666666666,103.0,36.0,147.0,11.0,3.0
red,4104.0,13.68,,294.0,6.0,,
purple,3802.0,12.673333333333334,,,,300.0,
green,8818.0,29.39333333333333,216.0,20.0,64.0,,
green,4021.0,13.403333333333334,241.0,59.0,,,
green,4573.0,15.243333333333334,300.0,,,,
yellow,4567.0,15.223333333333333,,,,,300.0
red,2823.0,9.41,,300.0,,,
