winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
yellow,10738.0,35.79333333333333,84.0,48.0,45.0,31.0,92.0
yellow,10960.0,36.53333333333333,72.0,33.0,33.0,68.0,94.0
green,10538.0,35.126666666666665,100.0,7.0,58.0,53.0,82.0
blue,9246.0,30.819999999999997,75.0,11.0,83.0,50.0,81.0
green,9587.0,31.956666666666667,94.0,6.0,89.0,22.0,89.0
yellow,9609.0,32.029999999999994,65.0,56.0,72.0,27.0,80.0
yellow,11669.0,38.89666666666667,87.0,23.0,28.0,55.0,107.0
yellow,10111.0,33.70333333333333,68.0,28.0,62.0,41.0,101.0
green,10924.0,36.413333333333334,117.0,38.0,50.0,14.0,81.0
yellow,10430.0,34.766666666666666,87.0,18.0,67.0,19.0,109.0
green,10244.0,34.14666666666666,94.0,38.0,67.0,13.0,88.0
green,10579.0,35.263333333333335,87.0,34.0,39.0,65.0,75.0
yellow,9965.0,33.21666666666667,79.0,32.0,76.0,19.0,94.0
green,10174.0,33.913333333333334,81.0,42.0,46.0,56.0,75.0
yellow,9769.0,32.56333333333333,70.0,29.0,68.0,44.0,89.0
green,10836.0,36.120000000000005,117.0,22.0,54.0,27.0,80.0
green,11299.0,37.663333333333334,122.0,45.0,48.0,4.0,81.0
yellow,12186.0,40.62,96.0,43.0,5.0,50.0,106.0
green,10576.0,35.25333333333333,89.0,34.0,54.0,37.0,86.0
green,10537.0,35.123333333333335,116.0,43.0,48.0,32.0,61.0
green,10842.0,36.14,92.0,54.0,45.0,21.0,88.0
yellow,10292.0,34.30666666666667,76.0,38.0,62.0,28.0,96.0
blue,8918.0,29.726666666666667,84.0,28.0,98.0,18.0,72.0
blue,8994.0,29.98,72.0,20.0,93.0,33.0,82.0
green,9935.0,33.11666666666667,95.0,16.0,76.0,23.0,90.0
yellow,11185.0,37.28333333333333,80.0,31.0,25.0,63.0,101.0
yellow,10042.0,33.47333333333333,73.0,44.0,63.0,8.0,112.0
yellow,9595.0,31.983333333333334,75.0,41.0,69.0,35.0,80.0
yellow,9531.0,31.77,77.0,40.0,82.0,8.0,93.0
yellow,9777.0,32.59,75.0,17.0,68.0,52.0,88.0
green,9732.0,32.440000000000005,92.0,22.0,83.0,14.0,89.0
green,10753.0,35.843333333333334,104.0,27.0,45.0,52.0,72.0
yellow,10145.0,33.81666666666667,87.0,27.0,72.0,16.0,98.0
green,9442.0,31.47333333333333,101.0,7.0,88.0,35.0,69.0
green,10113.0,33.71,107.0,24.0,64.0,35.0,70.0
green,9783.0,32.61,99.0,35.0,75.0,24.0,67.0
yellow,10374.0,34.58,69.0,29.0,52.0,50.0,100.0
green,10475.0,34.91666666666667,116.0,34.0,52.0,44.0,54.0
blue,9153.0,30.509999999999998,72.0,26.0,78.0,53.0,71.0
green,10678.0,35.593333333333334,105.0,25.0,45.0,58.0,67.0
yellow,11697.0,38.99,93.0,11.0,21.0,79.0,96.0
yellow,9343.0,31.143333333333334,77.0,22.0,93.0,15.0,93.0
green,9914.0,33.04666666666667,85.0,33.0,61.0,54.0,67.0
yellow,10122.0,33.739999999999995,87.0,36.0,71.0,10.0,96.0
green,10207.0,34.02333333333333,82.0,49.0,61.0,30.0,78.0
yellow,10698.0,35.66,86.0,11.0,58.0,41.0,104.0
yellow,10049.0,33.49666666666667,56.0,33.0,63.0,24.0,124.0
yellow,10585.0,35.28333333333333,81.0,41.0,49.0,32.0,97.0
green,9684.0,32.28,86.0,23.0,78.0,32.0,81.0
yellow,10884.0,36.28,88.0,31.0,54.0,16.0,111.0
green,11269.0,37.56333333333333,103.0,56.0,42.0,3.0,96.0
yellow,10103.0,33.67666666666666,84.0,36.0,65.0,27.0,88.0
yellow,10291.0,34.303333333333335,61.0,59.0,57.0,14.0,109.0
yellow,10419.0,34.73,83.0,54.0,52.0,27.0,84.0
yellow,10361.0,34.53666666666667,85.0,45.0,59.0,21.0,90.0
blue,8384.0,27.946666666666665,72.0,17.0,99.0,51.0,61.0
green,11258.0,37.52666666666667,108.0,56.0,35.0,10.0,91.0
yellow,9613.0,32.04333333333334,81.0,28.0,73.0,26.0,92.0
yellow,11792.0,39.306666666666665,78.0,52.0,17.0,33.0,120.0
green,10225.0,34.08333333333333,108.0,17.0,60.0,49.0,66.0
green,9946.0,33.153333333333336,91.0,34.0,72.0,21.0,82.0
green,9830.0,32.766666666666666,93.0,31.0,71.0,33.0,72.0
green,9703.0,32.343333333333334,98.0,14.0,77.0,38.0,73.0
green,11231.0,37.43666666666667,110.0,13.0,47.0,42.0,88.0
blue,9474.0,31.580000000000002,71.0,55.0,81.0,16.0,77.0
green,9775.0,32.58333333333333,98.0,14.0,79.0,28.0,81.0
yellow,10278.0,34.260000000000005,91.0,34.0,62.0,20.0,93.0
green,10544.0,35.14666666666667,95.0,36.0,54.0,22.0,93.0
yellow,9582.0,31.94,82.0,25.0,84.0,21.0,88.0
yellow,10118.0,33.72666666666667,70.0,49.0,56.0,32.0,93.0
yellow,10359.0,34.53,84.0,31.0,59.0,20.0,106.0
green,10366.0,34.553333333333335,116.0,3.0,68.0,34.0,79.0
yellow,10634.0,35.446666666666665,84.0,30.0,50.0,48.0,88.0
yellow,10624.0,35.413333333333334,91.0,20.0,62.0,29.0,98.0
blue,8808.0,29.360000000000003,66.0,20.0,78.0,71.0,65.0
green,10361.0,34.53666666666667,121.0,23.0,57.0,28.0,71.0
yellow,11448.0,38.16,86.0,38.0,32.0,35.0,109.0
yellow,10471.0,34.90333333333333,87.0,7.0,57.0,60.0,89.0
yellow,10499.0,34.99666666666666,81.0,25.0,48.0,59.0,87.0
yellow,10014.0,33.379999999999995,71.0,22.0,59.0,66.0,82.0
green,10581.0,35.27,97.0,28.0,62.0,18.0,95.0
blue,8724.0,29.080000000000002,62.0,8.0,103.0,25.0,102.0
yellow,11781.0,39.269999999999996,99.0,14.0,25.0,62.0,100.0
green,9685.0,32.28333333333334,85.0,10.0,78.0,53.0,74.0
green,9442.0,31.47333333333333,100.0,2.0,87.0,27.0,84.0
