winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
blue,3984.0,13.28,30.0,31.0,187.0,25.0,27.0
blue,3769.0,12.563333333333334,47.0,3.0,209.0,21.0,20.0
blue,5005.0,16.683333333333334,33.0,45.0,151.0,36.0,35.0
blue,4128.0,13.76,37.0,14.0,193.0,23.0,32.0
blue,3342.0,11.14,18.0,24.0,204.0,30.0,24.0
blue,4308.0,14.360000000000001,30.0,37.0,170.0,38.0,25.0
blue,3081.0,10.27,24.0,36.0,207.0,22.0,11.0
blue,2991.0,9.969999999999999,19.0,19.0,207.0,36.0,19.0
blue,3872.0,12.906666666666666,26.0,25.0,194.0,24.0,31.0
blue,3801.0,12.67,25.0,21.0,195.0,33.0,26.0
blue,3471.0,11.57,30.0,21.0,199.0,32.0,18.0
blue,4400.0,14.666666666666666,36.0,42.0,175.0,16.0,31.0
blue,4070.0,13.566666666666666,25.0,27.0,192.0,23.0,33.0
blue,4727.0,15.756666666666666,31.0,27.0,171.0,25.0,46.0
blue,4641.0,15.47,42.0,34.0,162.0,40.0,22.0
blue,3273.0,10.91,20.0,19.0,213.0,22.0,26.0
blue,3636.0,12.120000000000001,23.0,30.0,195.0,22.0,30.0
blue,4076.0,13.586666666666666,26.0,32.0,174.0,42.0,26.0
blue,4005.0,13.350000000000001,26.0,27.0,189.0,32.0,26.0
blue,4191.0,13.969999999999999,36.0,24.0,186.0,21.0,33.0
blue,4400.0,14.666666666666666,28.0,22.0,183.0,29.0,38.0
blue,4176.0,13.919999999999998,31.0,20.0,192.0,17.0,40.0
blue,4494.0,14.979999999999999,27.0,56.0,165.0,22.0,30.0
blue,4336.0,14.453333333333335,27.0,31.0,177.0,35.0,30.0
blue,5062.0,16.873333333333335,23.0,47.0,152.0,44.0,34.0
blue,2857.0,9.523333333333333,18.0,13.0,223.0,21.0,25.0
blue,3979.0,13.263333333333332,28.0,11.0,194.0,34.0,33.0
blue,4281.0,14.27,29.0,35.0,180.0,29.0,27.0
blue,4126.0,13.753333333333334,31.0,26.0,185.0,31.0,27.0
blue,3902.0,13.006666666666666,32.0,38.0,188.0,23.0,19.0
blue,4015.0,13.383333333333333,27.0,23.0,188.0,36.0,26.0
blue,3889.0,12.963333333333333,14.0,31.0,176.0,46.0,33.0
blue,4925.0,16.416666666666664,28.0,30.0,163.0,32.0,47.0
blue,3975.0,13.25,34.0,15.0,189.0,40.0,22.0
blue,2690.0,8.966666666666667,23.0,20.0,222.0,24.0,11.0
blue,3795.0,12.65,22.0,33.0,186.0,30.0,29.0
blue,4077.0,13.59,17.0,31.0,179.0,36.0,37.0
blue,3997.0,13.323333333333334,18.0,31.0,166.0,61.0,24.0
blue,4375.0,14.583333333333334,31.0,24.0,178.0,36.0,31.0
blue,4177.0,13.923333333333332,31.0,37.0,178.0,28.0,26.0
blue,3555.0,11.85,30.0,16.0,201.0,33.0,20.0
blue,5029.0,16.763333333333332,40.0,22.0,171.0,23.0,44.0
blue,3660.0,12.2,18.0,27.0,192.0,29.0,34.0
blue,3708.0,12.36,28.0,36.0,196.0,17.0,23.0
blue,4268.0,14.226666666666668,35.0,20.0,186.0,24.0,35.0
blue,4507.0,15.023333333333333,16.0,31.0,158.0,61.0,34.0
blue,3612.0,12.04,16.0,31.0,190.0,39.0,24.0
